date,total_amount
2008-12-31,118.45
2009-01-01,16.4
2023-01-31,214.97
2023-02-01,2805988.39
2023-02-02,2982669.88
2023-02-03,2975692.75
2023-02-04,2417880.51
2023-02-05,2349277.0
2023-02-06,2509955.21
2023-02-07,2773960.12
2023-02-08,2870839.11
2023-02-09,3166657.91
2023-02-10,3101093.81
2023-02-11,2904755.79
2023-02-12,2567642.78
2023-02-13,2536309.66
2023-02-14,2873399.6
2023-02-15,3099368.63
2023-02-16,3088931.52
2023-02-17,3042301.13
2023-02-18,2714296.3
2023-02-19,2466801.43
2023-02-20,2327346.96
2023-02-21,2744981.8
2023-02-22,3005936.52
2023-02-23,3164198.75
2023-02-24,3109646.6
2023-02-25,2892835.93
2023-02-26,2581990.06
2023-02-27,2598396.69
2023-02-28,2706343.57
2023-03-01,640.77
2023-03-06,464.2
2023-03-07,20.2
